Max Temp,Min Temp,SqDif,SqDif
12.1,-1.8,4.017205963,0.157819977
16.6,-4.5,42.30587784,5.302585602
13.4,2.6,10.91837784,23.01375748
16.3,3.1,38.49329971,28.0610231
20.7,2.9,112.4511122,25.98211685
24,1.6,193.3294716,14.41922623
15.4,8.7,28.13556534,118.7503981
21.9,3.2,139.3414247,29.13047623
13.2,7.8,9.636659088,99.94531998
20.8,6.6,114.5819716,77.39188248
13.6,1.6,12.28009659,14.41922623
19.9,-2.2,96.12423721,7.47681E-06
26.2,5.6,259.3483778,60.79735123
27.8,4.4,313.4421278,43.52391373
30.4,11.8,412.2644716,195.923445
16.7,3.4,43.61673721,31.32938248
19,0.1,79.28650284,5.277429352
18.3,-0.6,67.31048721,2.551257477
27.1,10.8,289.1461122,168.9289137
27,10.8,285.7552528,168.9289137
26.3,4.9,262.5792372,50.37117935
27.7,10.8,309.9112685,168.9289137
36.6,18.9,702.4777528,445.0946169
25.7,11.3,243.494081,182.1761794
20.3,9.7,104.1276747,141.5449294
19.7,5.5,92.24251846,59.2478981
20.4,3.6,106.1785341,33.60828873
20.7,1,112.4511122,10.22250748
26.3,10.1,262.5792372,151.2227419
26.2,14.6,259.3483778,282.1481325
20.8,10.8,114.5819716,168.9289137
16.5,10.5,41.01501846,161.2205544
21.1,11.9,121.0945497,198.7328981
24.5,11,207.4837685,174.16782
27.6,7.9,306.4004091,101.9547731
28.2,10.1,327.7655653,151.2227419
26.6,12,272.3918153,201.5623512
23.4,14.6,177.0043153,282.1481325
25.1,12.8,225.1289247,224.9179762
27.3,9.9,295.987831,146.3438356
26.4,13.3,265.8300966,240.1652419
28.4,12.4,335.0472841,213.0801637
29.3,12.5,368.8050185,216.0096169
30.7,11.7,424.5370497,193.1339919
27.8,17.2,313.4421278,376.2539137
31.9,18.3,475.4273622,420.1378981
28.6,13.8,342.4090028,255.9125075
25.1,14.3,225.1289247,272.1597731
21.9,11.1,139.3414247,176.8172731
27.2,12.9,292.5569716,227.9274294
25.7,9.1,243.494081,127.6282106
24.8,5.7,216.2163466,62.36680435
29.9,11.5,392.2101747,187.6150856
29.4,19.7,372.6558778,479.4902419
24,17.3,193.3294716,380.1433669
26.7,14.8,275.7026747,288.9070387
30,13.8,396.1810341,255.9125075
24.9,15.7,219.167206,320.3121169
29.1,12.7,361.1632997,221.9285231
30.5,17.8,416.335331,399.8906325
28.6,18,342.4090028,407.9295387
26.1,14.8,256.1375185,288.9070387
25,18.1,222.1380653,411.9789919
27.8,16.4,313.4421278,345.8582887
26.3,14.2,262.5792372,268.87032
22.9,13,163.9500185,230.9568825
23.9,8.6,190.5586122,116.580945
26.8,10.2,279.0335341,153.692195
28.8,13.2,349.8507216,237.0757887
29.5,19.1,376.5267372,453.5735231
25.6,14.7,240.3832216,285.5175856
29.1,14.5,361.1632997,278.7986794
27.4,17.4,299.4386903,384.05282
22.5,8.5,153.866581,114.4314919
25,5.7,222.1380653,62.36680435
29,12.1,357.3724403,204.4118044
31.7,16,466.7456435,331.1404762
32.9,15.5,520.035956,313.1932106
32.4,18.4,497.4816591,424.2473512
31.8,14,471.0765028,262.3514137
28.1,13.9,324.154706,259.1219606
28.6,13.5,342.4090028,246.4041481
23.3,10,174.353456,148.7732887
24.5,7.9,207.4837685,101.9547731
28.1,7.4,324.154706,92.10750748
22.9,12.9,163.9500185,227.9274294
24.1,8.3,196.120331,110.1925856
22.4,9.4,151.3957216,134.49657
25.2,9.4,228.1397841,134.49657
25.3,7.8,231.1706435,99.94531998
27.1,14.1,289.1461122,265.6008669
29.6,10.3,380.4175966,156.1816481
24,13,193.3294716,230.9568825
24.4,7.8,204.6129091,99.94531998
26.4,9.5,265.8300966,136.8260231
22,9.2,141.7122841,129.8976637
21.3,6.5,125.5362685,75.64242935
23.7,4.7,185.0768935,47.5722731
26.5,12.7,269.100956,221.9285231
29.6,17.7,380.4175966,395.9011794
21.2,15.3,123.3054091,306.1543044
22.6,12.8,156.3574403,224.9179762
15.1,11.3,25.04298721,182.1761794
22.4,8.3,151.3957216,110.1925856
20.2,6.7,102.0968153,79.1613356
22.6,5.4,156.3574403,57.71844498
19.2,11.1,82.88822159,176.8172731
22.5,8.6,153.866581,116.580945
16.3,5.1,38.49329971,53.2500856
15.5,7.5,29.20642471,94.0369606
25,6.8,222.1380653,80.95078873
22.7,14.1,158.8682997,265.6008669
21.6,8.2,132.3488466,108.1031325
15.8,6.7,32.53900284,79.1613356
19.2,2.8,82.88822159,24.97266373
17.4,6.7,53.35275284,79.1613356
14.6,11.2,20.28869034,179.4867262
15.4,8.3,28.13556534,110.1925856
12.5,8.7,5.780643463,118.7503981
17.2,6.1,50.47103409,68.84461685
20.2,4.7,102.0968153,47.5722731
28.6,10.5,342.4090028,161.2205544
29.5,15.4,376.5267372,309.6637575
30.6,21.3,420.4261903,552.1214919
,,,
10.09570313,-2.197265625,,
36.6,21.3,,
-29.8,-39.9,,
,,73211.04527,58889.42809
16.91096229,15.16696504,,
